01:46.140	01:45.780	01:44.630	01:43.730	01:45.485
01:46.990	01:46.170	01:44.990	01:45.710	01:45.940
01:47.510	01:46.490	01:45.590	01:45.820	01:46.460
01:47.730	01:46.870	01:45.780	01:46.700	01:47.285
01:47.730	01:47.560	01:46.050	01:47.280	01:47.635
01:48.150	01:47.590	01:46.150	01:47.310	01:47.670
01:48.300	01:47.680	01:46.190	01:47.390	01:47.790
01:48.400	01:47.730	01:46.420	01:47.510	01:47.940
01:48.490	01:47.750	01:46.670	01:47.510	01:47.960
01:48.530	01:47.910	01:46.690	01:47.630	01:48.070
01:48.620	01:47.970	01:46.690	01:47.660	01:48.105
01:48.620	01:48.140	01:46.710	01:47.690	01:48.290
01:48.790	01:48.140	01:46.730	01:47.930	01:48.340
01:49.010	01:48.140	01:46.810	01:48.090	01:48.350
01:49.050	01:48.150	01:46.840	01:48.220	01:48.450
01:49.170	01:48.180	01:46.900	01:48.530	01:48.605
01:49.170	01:48.340	01:46.920	01:48.600	01:48.665
01:49.210	01:48.520	01:46.960	01:48.650	01:48.715
01:49.210	01:48.530	01:47.060	01:48.680	01:48.745
01:49.290	01:48.530	01:47.110	01:48.720	01:48.780
01:49.320	01:48.540	01:47.240	01:48.770	01:48.810
01:49.330	01:48.600	01:47.290	01:48.830	01:48.850
01:49.410	01:48.800	01:47.300	01:48.900	01:48.890
01:49.500	01:48.880	01:47.310	01:48.970	01:48.940
01:49.500	01:48.900	01:47.320	01:48.980	01:48.945
01:49.510	01:48.970	01:47.340	01:49.070	01:49.030
01:49.550	01:48.990	01:47.430	01:49.090	01:49.050
01:49.580	01:49.040	01:47.520	01:49.110	01:49.075
01:49.580	01:49.040	01:47.530	01:49.200	01:49.165
01:49.590	01:49.100	01:47.550	01:49.240	01:49.185
01:49.620	01:49.110	01:47.570	01:49.250	01:49.245
01:49.640	01:49.150	01:47.580	01:49.300	01:49.285
01:49.690	01:49.240	01:47.620	01:49.300	01:49.320
01:49.700	01:49.380	01:47.720	01:49.310	01:49.380
01:49.710	01:49.440	01:47.890	01:49.460	01:49.450
01:49.730	01:49.480	01:47.910	01:49.470	01:49.475
01:49.770	01:49.640	01:47.960	01:49.680	01:49.595
01:49.790	01:49.640	01:48.000	01:49.710	01:49.600
01:49.790	01:49.650	01:48.010	01:49.710	01:49.625
01:49.800	01:49.750	01:48.030	01:49.730	01:49.695
01:49.870	01:49.810	01:48.040	01:49.730	01:49.700
01:49.870	01:49.850	01:48.190	01:49.790	01:49.730
01:49.900	01:49.850	01:48.200	01:49.820	01:49.745
01:49.970	01:49.910	01:48.200	01:49.830	01:49.765
01:50.010	01:49.920	01:48.300	01:49.840	01:49.775
01:50.010	01:49.960	01:48.420	01:49.860	01:49.805
01:50.020	01:49.970	01:48.420	01:49.860	01:49.815
01:50.020	01:49.970	01:48.430	01:49.860	01:49.840
01:50.040	01:50.040	01:48.460	01:49.940	01:49.880
01:50.080	01:50.050	01:48.480	01:49.940	01:49.890
01:50.090	01:50.080	01:48.520	01:49.950	01:49.905
01:50.100	01:50.090	01:48.520	01:49.990	01:49.965
01:50.120	01:50.120	01:48.540	01:50.030	01:49.995
01:50.150	01:50.130	01:48.540	01:50.070	01:50.035
01:50.220	01:50.140	01:48.550	01:50.100	01:50.065
01:50.240	01:50.160	01:48.550	01:50.120	01:50.090
01:50.290	01:50.160	01:48.580	01:50.140	01:50.120
01:50.300	01:50.200	01:48.600	01:50.170	01:50.140
01:50.330	01:50.260	01:48.610	01:50.190	01:50.165
01:50.330	01:50.290	01:48.660	01:50.240	01:50.210
01:50.360	01:50.290	01:48.690	01:50.260	01:50.240
01:50.380	01:50.340	01:48.700	01:50.280	01:50.310
01:50.400	01:50.360	01:48.780	01:50.440	01:50.370
01:50.410	01:50.360	01:48.860	01:50.440	01:50.380
01:50.430	01:50.370	01:48.860	01:50.480	01:50.390
01:50.430	01:50.370	01:48.890	01:50.540	01:50.395
01:50.460	01:50.410	01:48.900	01:50.540	01:50.415
01:50.480	01:50.410	01:48.940	01:50.550	01:50.420
01:50.480	01:50.440	01:49.030	01:50.590	01:50.435
01:50.500	01:50.450	01:49.070	01:50.600	01:50.475
01:50.510	01:50.480	01:49.070	01:50.640	01:50.495
01:50.510	01:50.490	01:49.080	01:50.660	01:50.525
01:50.600	01:50.490	01:49.090	01:50.660	01:50.565
01:50.600	01:50.540	01:49.120	01:50.670	01:50.585
01:50.630	01:50.620	01:49.140	01:50.680	01:50.605
01:50.650	01:50.720	01:49.150	01:50.720	01:50.630
01:50.750	01:50.720	01:49.160	01:50.740	01:50.675
01:50.750	01:50.720	01:49.180	01:50.750	01:50.690
01:50.790	01:50.730	01:49.190	01:50.760	01:50.720
01:50.800	01:50.790	01:49.210	01:50.790	01:50.750
01:50.870	01:50.800	01:49.230	01:50.860	01:50.765
01:50.880	01:50.840	01:49.260	01:50.910	01:50.860
01:50.880	01:50.860	01:49.300	01:50.920	01:50.870
01:50.880	01:50.870	01:49.310	01:50.940	01:50.875
01:50.930	01:50.870	01:49.350	01:50.980	01:50.900
01:50.950	01:50.900	01:49.350	01:50.990	01:50.925
01:50.980	01:50.960	01:49.400	01:51.040	01:50.960
01:51.050	01:51.010	01:49.400	01:51.140	01:51.015
01:51.050	01:51.030	01:49.450	01:51.160	01:51.030
01:51.070	01:51.050	01:49.510	01:51.180	01:51.055
01:51.120	01:51.050	01:49.530	01:51.180	01:51.075
01:51.130	01:51.050	01:49.570	01:51.200	01:51.075
01:51.140	01:51.070	01:49.570	01:51.230	01:51.100
01:51.150	01:51.110	01:49.670	01:51.230	01:51.125
01:51.150	01:51.130	01:49.670	01:51.240	01:51.140
